Key,kr,en,es
Character/Alta,알타,Alta,Alta
Character/Child_Alta,어린 별나무,Child Alta,Niño_Alta
Character/0,리비,Ribee,Ribee
Character/3,점분이,B-Bit,B-Bit
Character/1,소포,Sofo,Sofo
Character/2,곰곰,Gomgom,Gomgom
Character/4,고등어,HighFish,Pez Alto
Character/5,쿠,Cu,Cu
Character/6,둠둠,Doomdoom,Doomdoom
Character/7,아우구스투스,Augustus,Augusto
Character/10,머핀,Muffin,Muffin
Character/11,마틸다,Matilda,Matilda
Character/12,토스터,Toaster,Tostadora
Character/8,알,AI,AI
Character/9,프리모,Primo,Primo
Character/0_Text,꿀을 좋아하는 장난꾸러기,A mischievous one who loves honey.,Un travieso que ama la miel.
Character/3_Text,자신의 자리를 되찾고 싶어하는 토끼,A rabbit who wants to reclaim its place.,Un conejo que quiere recuperar su lugar.
Character/1_Text,상자는 내거야,The box is mine.,La caja es mía.
Character/2_Text,여름잠을 자는 동그란 곰,A round bear taking a summer nap.,Un oso redondo tomando una siesta de verano.
Character/4_Text,신선한 등 푸른 유니모,"A fresh, blue-backed Unimo.",Un Unimo de espalda azul y fresco.
Character/5_Text,라쿤 아닌데,"I'm not a raccoon, though.",Pero no soy un mapache.
Character/6_Text,밝게 빛나는 것들을 모아요,Collect things that shine brightly.,Recojo cosas que brillan intensamente.
Character/7_Text,혼자서도 날 수 있다고,I can fly on my own.,Puedo volar solo.
Character/10_Text,집은 못 지켜,Can't protect the house.,No puedo proteger la casa.
Character/11_Text,코 누르지 마,Don’t touch my nose.,No me presiones la nariz.
Character/12_Text,재부팅 하시겠습니까?,Would you like to reboot?,¿Le gustaría reiniciar?
Character/8_Text,낙타 싫어,I don’t like camels.,No me gustan los camellos.
Character/9_Text,노는게 제일 좋아,Playing is the best.,Jugar es lo mejor.
Motor/0,리비,Ribee,Ribee
Motor/3,점분이,B-Bit,B-Bit
Motor/1,소포,Sofo,Sofo
Motor/2,곰곰,Gomgom,Gomgom
Motor/4,고등어,HighFish,Pez Alto
Motor/5,쿠,Cu,Cu
Motor/6,둠둠,Doomdoom,Doomdoom
Motor/7,아우구스투스,Augustus,Augusto
Motor/10,머핀,Muffin,Muffin
Motor/11,마틸다,Matilda,Matilda
Motor/12,토스터,Toaster,Tostadora
Motor/8,알,AI,AI
Motor/9,프리모,Primo,Primo
Motor/13,오크통,OakTong,OakTong
Motor/14,아이스크림,Icecream,Icecream
Motor/15,마녀솥,WitchSot,WitchSot
Motor/16,개밥그릇,DogBowl,DogBowl
Motor/17,쓰레기통,TrashCan,TrashCan
Motor/18,모래성,SandCastle,SandCastle
Motor/19,욕조통,Bathtub,Bathtub
Motor/20,엘프컵,ElfCup,ElfCup
Motor/21,마술모자,MagicHat,MagicHat
Motor/22,구름구름,Cloud,Cloud
